,writer
640,Caliope Brattlestreet
641,Callie Khouri
642,Cameron Crowe
643,Camille Thomasson
644,Candace Bushnell
645,Candace Lee
646,Captain Mauzner
647,Carey Van Dyke
648,Carey W. Hayes
649,Carl Binder
650,Carl Ellsworth
651,Carl Franklin
652,Carl Hiaasen
653,Carl Kurlander
654,Carl Reiner
655,Carl V. Dupré
656,Carlo Bernard
657,Carlo Carlei
658,Carlos Cuarón
659,Carlos Davis
660,Carlos Ezquerra
661,Carlos Fuentes
662,Carlos Grangel
663,Carlos Kotkin
664,Carlos Saldanha
665,Carlos Saura
666,Carlton Cuse
667,Carol Doyle
668,Carol Fuchs
669,Carol Heikkinen
670,Carol Sobieski
671,Carol Watson
672,Carole Eastman
673,Carole Whang Schutter
674,Caroline Eliacheff
675,Caroline Link
676,Caroline Thompson
677,Carolyn Lefcourt
678,Carrie Fisher
679,Carrie Lee Wilson
680,Carroll Cartwright
681,Carter Crocker
682,Cary Joji Fukunaga
683,Cary Solomon
684,Casey T. Mitchell
685,Casey Wilson
686,Caspian Tredwell-Owen
687,Cassandra Clare
688,Catalina Aguilar Mastretta
689,Catherine Cyran
690,Catherine Hardwicke
691,Catherine Johnson
692,Catherine Ryan Hyde
693,Cathleen Schine
694,Cathryn Michon
695,Cathy Cash Spellman
696,Cathy Yuspa
697,Chad Feehan
698,Chad Gomez Creasey
699,Chad Hayes
700,Chad Hodge
701,Chad St. John
702,Chantal Cadieux
703,Chap Taylor
704,Charles Addams
705,Charles B. Wessler
706,Charles Beaumont
707,Charles Belden
708,Charles Binamé
709,Charles Bukowski
710,Charles Burnett
711,Charles Chaplin
712,Charles Crichton
713,Charles Dennis
714,Charles Dickens
715,Charles Edward Pogue
716,Charles F. Bohl
717,Charles Finch
718,Charles Frazier
719,Charles Fuller
720,Charles G. Booth
721,Charles Gieg Jr.
722,Charles Kipps
723,Charles Leavitt
724,Charles MacArthur
725,Charles Martin Smith
726,Charles McCarry
727,Charles McKeown
728,Charles Perrault
729,Charles Randolph
730,Charles Robert Carner
731,Charles S. Haas
732,Charles Shyer
733,Charles Williams
734,Charley Parlapanides
735,Charlie Bean
736,Charlie Coffey
737,Charlie Fletcher
738,Charlie Kaufman
739,Charlie Murphy
740,Charlie Peters
741,Charlie Wachtel
742,Chase Palmer
743,Chauncey G. Parker III
744,Chazz Palminteri
745,Cheech Marin
746,Cheo Hodari Coker
747,Cheol-Hong Jeon
748,Cherie Currie
749,Cheryl Edwards
750,Cheryl L. West
751,Cheryl McKay
752,Cheryl Strayed
753,Chesley Sullenberger
754,Chester Gould
755,Chester Himes
756,Cheston Hervey
757,Chi Muoi Lo
758,Chia-Lu Chang
759,Chip Proser
760,Choderlos de Laclos
761,Chris Bergoch
762,Chris Bowman
763,Chris Brancato
764,Chris Butler
765,Chris Carter
766,Chris Columbus
767,Chris Conrad
768,Chris Conroy
769,Chris D'Arienzo
770,Chris Denk
771,Chris Fuhrman
772,Chris Gerolmo
773,Chris Hauty
774,Chris Henchy
775,Chris Hudson
776,Chris Kentis
777,Chris Kyle
778,Chris Lofing
779,Chris Marker
780,Chris Matheson
781,Chris McKenna
782,Chris Miller
783,Chris Morgan
784,Chris Parker
785,Chris Provenzano
786,Chris Radant
787,Chris Roberts
788,Chris Rock
789,Chris Sanders
790,Chris Soth
791,Chris Spain
792,Chris Sparling
793,Chris Stokes
794,Chris Terrio
795,Chris Van Allsburg
796,Chris Viscardi
797,Chris Warner
798,Chris Weitz
799,Chris Williams
800,Christian Carion
801,Christian Clavier
802,Christian Ford
803,Christian Gudegast
804,Christian Swegal
805,Christianna Brand
806,Christie Taylor
807,Christina Crawford
808,Christina Hodson
809,Christina Welsh
810,Christine Bell
811,Christine Leunens
812,Christine Olsen
813,Christine Roum
814,Christopher Bertolini
815,Christopher Borrelli
816,Christopher Bram
817,Christopher Browne
818,Christopher Buckley
